Day;Animals Count;Plants Count;Free fields count;Famous Genotype;AVG energy for living animals;AVG dead animals life length;AVG child count
1;52;50;302;[1, 7, 2, 4, 2, 5, 7, 6];89.42;0.0;0.08
2;56;50;305;[7, 7, 4, 1, 3, 3, 7, 7];76.43;0.0;0.21
3;58;48;300;[7, 7, 4, 1, 3, 3, 7, 7];67.76;0.0;0.28
4;61;45;305;[7, 7, 4, 1, 3, 3, 7, 7];58.85;0.0;0.36
5;61;44;300;[7, 7, 4, 1, 3, 3, 7, 7];51.8;0.0;0.36
6;61;41;303;[7, 7, 4, 1, 3, 3, 7, 7];45.74;0.0;0.36
7;61;40;304;[7, 7, 4, 1, 3, 3, 7, 7];38.69;0.0;0.36
8;56;41;307;[7, 7, 4, 1, 3, 3, 7, 7];35.54;6.0;0.32
9;54;43;306;[7, 7, 4, 1, 3, 3, 7, 7];28.89;5.75;0.33
10;43;46;314;[7, 7, 4, 1, 3, 3, 7, 7];30.23;6.95;0.26
11;40;49;312;[7, 7, 4, 1, 3, 3, 7, 7];24.75;7.27;0.18
12;27;49;327;[7, 7, 4, 1, 3, 3, 7, 7];37.78;8.72;0.33
13;24;53;323;[7, 7, 4, 1, 3, 3, 7, 7];35.0;8.97;0.25
14;23;54;324;[7, 7, 4, 1, 3, 3, 7, 7];32.17;8.88;0.26
15;17;57;327;[7, 7, 4, 1, 3, 3, 7, 7];40.59;9.54;0.35
16;16;59;326;[7, 7, 4, 1, 3, 3, 7, 7];39.38;9.64;0.38
17;15;63;323;[7, 7, 4, 1, 3, 3, 7, 7];34.67;9.77;0.27
18;11;67;323;[7, 7, 4, 1, 3, 3, 7, 7];43.64;10.33;0.36
19;11;68;324;[7, 7, 4, 1, 3, 3, 7, 7];44.55;10.33;0.36
20;11;69;320;[7, 7, 4, 1, 3, 3, 7, 7];45.45;10.33;0.36
21;9;73;318;[7, 7, 4, 1, 3, 3, 7, 7];51.11;10.69;0.44
22;9;75;317;[7, 7, 4, 1, 3, 3, 7, 7];51.11;10.69;0.44
23;9;78;314;[7, 7, 4, 1, 3, 3, 7, 7];47.78;10.69;0.44
24;9;78;313;[7, 7, 4, 1, 3, 3, 7, 7];54.44;10.69;0.44
25;9;78;315;[7, 7, 4, 1, 3, 3, 7, 7];61.11;10.69;0.44
26;8;79;314;[7, 7, 4, 1, 3, 3, 7, 7];75.0;10.95;0.25
27;8;80;312;[7, 7, 4, 1, 3, 3, 7, 7];80.0;10.95;0.25
28;8;82;311;[7, 7, 4, 1, 3, 3, 7, 7];81.25;10.95;0.25
29;8;85;307;[7, 7, 4, 1, 3, 3, 7, 7];78.75;10.95;0.25
30;6;89;305;[7, 7, 4, 1, 3, 3, 7, 7];103.33;11.58;0.33
31;6;92;304;[7, 7, 4, 1, 3, 3, 7, 7];103.33;11.58;0.33
32;6;97;297;[7, 7, 4, 1, 3, 3, 7, 7];93.33;11.58;0.33
33;6;101;294;[7, 7, 4, 1, 3, 3, 7, 7];88.33;11.58;0.33
34;6;105;290;[7, 7, 4, 1, 3, 3, 7, 7];83.33;11.58;0.33
35;6;108;286;[7, 7, 4, 1, 3, 3, 7, 7];83.33;11.58;0.33
36;5;111;285;[7, 7, 4, 1, 3, 3, 7, 7];104.0;11.98;0.4
37;5;115;281;[7, 7, 4, 1, 3, 3, 7, 7];100.0;11.98;0.4
38;5;116;282;[7, 7, 4, 1, 3, 3, 7, 7];114.0;11.98;0.4
39;5;118;279;[7, 7, 4, 1, 3, 3, 7, 7];122.0;11.98;0.4
40;5;121;276;[7, 7, 4, 1, 3, 3, 7, 7];124.0;11.98;0.4
41;5;123;275;[7, 7, 4, 1, 3, 3, 7, 7];132.0;11.98;0.4
42;5;126;270;[7, 7, 4, 1, 3, 3, 7, 7];134.0;11.98;0.4
43;5;131;264;[7, 7, 4, 1, 3, 3, 7, 7];124.0;11.98;0.4
44;5;134;262;[7, 7, 4, 1, 3, 3, 7, 7];126.0;11.98;0.4
45;5;135;263;[7, 7, 4, 1, 3, 3, 7, 7];140.0;11.98;0.4
46;5;137;260;[7, 7, 4, 1, 3, 3, 7, 7];148.0;11.98;0.4
47;5;140;257;[7, 7, 4, 1, 3, 3, 7, 7];150.0;11.98;0.4
48;5;143;254;[7, 7, 4, 1, 3, 3, 7, 7];152.0;11.98;0.4
49;5;146;250;[7, 7, 4, 1, 3, 3, 7, 7];154.0;11.98;0.4
50;5;149;247;[7, 7, 4, 1, 3, 3, 7, 7];156.0;11.98;0.4
51;5;151;246;[7, 7, 4, 1, 3, 3, 7, 7];164.0;11.98;0.4
52;5;154;243;[7, 7, 4, 1, 3, 3, 7, 7];166.0;11.98;0.4
53;5;159;236;[7, 7, 4, 1, 3, 3, 7, 7];156.0;11.98;0.4
54;5;163;233;[7, 7, 4, 1, 3, 3, 7, 7];152.0;11.98;0.4
55;5;166;229;[7, 7, 4, 1, 3, 3, 7, 7];154.0;11.98;0.4
56;5;171;224;[7, 7, 4, 1, 3, 3, 7, 7];144.0;11.98;0.4
57;5;174;223;[7, 7, 4, 1, 3, 3, 7, 7];146.0;11.98;0.4
58;5;178;218;[7, 7, 4, 1, 3, 3, 7, 7];142.0;11.98;0.4
59;5;181;216;[7, 7, 4, 1, 3, 3, 7, 7];144.0;11.98;0.4
60;5;186;209;[7, 7, 4, 1, 3, 3, 7, 7];134.0;11.98;0.4
61;5;190;207;[7, 7, 4, 1, 3, 3, 7, 7];130.0;11.98;0.4
62;5;193;205;[7, 7, 4, 1, 3, 3, 7, 7];132.0;11.98;0.4
63;4;196;202;[7, 7, 4, 1, 3, 3, 7, 7];172.5;12.83;0.5
64;4;199;199;[7, 7, 4, 1, 3, 3, 7, 7];177.5;12.83;0.5
65;4;204;192;[7, 7, 4, 1, 3, 3, 7, 7];167.5;12.83;0.5
66;4;206;193;[7, 7, 4, 1, 3, 3, 7, 7];180.0;12.83;0.5
67;4;208;191;[7, 7, 4, 1, 3, 3, 7, 7];192.5;12.83;0.5
68;4;212;185;[7, 7, 4, 1, 3, 3, 7, 7];190.0;12.83;0.5
69;4;214;184;[7, 7, 4, 1, 3, 3, 7, 7];202.5;12.83;0.5
70;4;215;184;[7, 7, 4, 1, 3, 3, 7, 7];222.5;12.83;0.5
71;4;217;182;[7, 7, 4, 1, 3, 3, 7, 7];235.0;12.83;0.5
72;4;219;179;[7, 7, 4, 1, 3, 3, 7, 7];247.5;12.83;0.5
73;4;222;175;[7, 7, 4, 1, 3, 3, 7, 7];252.5;12.83;0.5
74;4;225;173;[7, 7, 4, 1, 3, 3, 7, 7];257.5;12.83;0.5
75;5;229;169;[3, 4, 0, 0, 3, 0, 4, 1];204.0;12.83;0.8
76;6;231;167;[3, 4, 0, 0, 3, 0, 4, 1];176.67;12.83;1.0
77;7;232;167;[3, 4, 0, 0, 3, 0, 4, 1];160.0;12.83;1.14
78;7;232;166;[3, 4, 0, 0, 3, 0, 4, 1];171.43;12.83;1.14
79;7;233;165;[3, 4, 0, 0, 3, 0, 4, 1];178.57;12.83;1.14
80;7;233;165;[3, 4, 0, 0, 3, 0, 4, 1];190.0;12.83;1.14
81;7;234;163;[3, 4, 0, 0, 3, 0, 4, 1];197.14;12.83;1.14
82;7;234;164;[3, 4, 0, 0, 3, 0, 4, 1];208.57;12.83;1.14
83;7;233;165;[3, 4, 0, 0, 3, 0, 4, 1];224.29;12.83;1.14
84;7;232;163;[3, 4, 0, 0, 3, 0, 4, 1];240.0;12.83;1.14
85;7;233;163;[3, 4, 0, 0, 3, 0, 4, 1];247.14;12.83;1.14
86;7;234;163;[3, 4, 0, 0, 3, 0, 4, 1];254.29;12.83;1.14
87;7;236;160;[3, 4, 0, 0, 3, 0, 4, 1];257.14;12.83;1.14
88;7;236;161;[3, 4, 0, 0, 3, 0, 4, 1];268.57;12.83;1.14
89;7;238;157;[3, 4, 0, 0, 3, 0, 4, 1];271.43;12.83;1.14
90;7;238;159;[3, 4, 0, 0, 3, 0, 4, 1];282.86;12.83;1.14
91;7;238;159;[3, 4, 0, 0, 3, 0, 4, 1];294.29;12.83;1.14
92;7;239;157;[3, 4, 0, 0, 3, 0, 4, 1];301.43;12.83;1.14
93;7;239;157;[3, 4, 0, 0, 3, 0, 4, 1];312.86;12.83;1.14
94;7;240;155;[3, 4, 0, 0, 3, 0, 4, 1];320.0;12.83;1.14
95;7;241;154;[3, 4, 0, 0, 3, 0, 4, 1];327.14;12.83;1.14
96;7;243;153;[3, 4, 0, 0, 3, 0, 4, 1];330.0;12.83;1.14
97;7;244;153;[3, 4, 0, 0, 3, 0, 4, 1];337.14;12.83;1.14
98;8;244;152;[3, 4, 0, 0, 3, 0, 4, 1];305.0;12.83;1.25
99;9;244;153;[3, 4, 0, 0, 3, 0, 4, 1];278.89;12.83;1.33
100;10;243;153;[3, 4, 0, 0, 3, 0, 4, 1];260.0;12.83;1.4
